Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
real,2.5,116,9,0.120274914089347,0.0034364261168384,0.05325718110066185,0.5928653846153847,1.142,0.309,0.0658877587912088,0.7134770351008215,1.0640970873786406,0.5315436893203884,0.04104607221781423,3277.29
grand,1.67,118,2,0.1308724832214765,0.0033557046979865,0.02346125794821421,0.6842115384615385,1.066,0.393,0.023208934615384615,0.7362576549663928,0.9330000000000002,0.5841553398058253,0.013943135855485199,2844.68
recent,2.5,91,30,0.0777777777777777,0.0037037037037037,0.06759556317124756,0.5189999999999999,1.196,0.156,0.0948952009569378,0.6527070175438596,1.0526666666666666,0.4676,0.06037450113034101,1305.12
simple,1.62,128,9,0.2268041237113402,0.0034364261168384,0.020568344073366447,0.5851607142857143,1.278,0.235,0.049674594026548675,0.7668254504504505,1.1426936936936936,0.5931081081081082,0.02009501014366435,2876.94
possible,1.56,117,14,0.0944055944055944,0.0034965034965034,0.02057274434066039,0.5275555555555554,1.331,0.143,0.06627626828282829,0.6699321789321789,1.144234693877551,0.490908163265306,0.0263579530136433,1140.72
good,1.64,147,6,0.1394557823129251,0.0034013605442176,0.018175205313516733,0.5212204724409448,1.3,0.107,0.05225332917076771,0.7340346948818898,1.1678267716535435,0.5212204724409449,0.01778885398017816,2672.06
definite,2.07,111,32,0.1007462686567164,0.003731343283582,0.03809545002290741,0.63657,0.977,0.29,0.03581790297029703,0.6940036363636364,1.0286565656565656,0.5262626262626263,0.031013486435875905,2124.06
necessary,1.8,92,34,0.1466165413533834,0.0037593984962406,0.034852879755516146,0.547725,1.074,0.157,0.06306095277777778,0.7187237341772152,0.9950886075949368,0.5235696202531646,0.027600077509737468,1564.68
apparent,1.73,113,33,0.198501872659176,0.0037453183520599,0.026424317212573007,0.6047368421052631,1.204,0.263,0.05169153508771928,0.6986868980963046,1.1167553191489363,0.5168617021276595,0.026792123746108423,2273.39
previous,2.52,80,19,0.2028469750889679,0.0035587188612099,0.07836723761581942,0.5788571428571428,1.292,0.17,0.10836233199195171,0.689783850931677,1.14631884057971,0.5226376811594202,0.06973987771907648,1302.84
same,2.64,90,19,0.1387900355871886,0.0035587188612099,0.07641027624045064,0.4943417721518987,1.203,0.161,0.11088302389240509,0.6968857513794222,1.0423333333333336,0.5050897435897437,0.0604014378297714,1881.17
honest,1.66,113,14,0.0874125874125874,0.0034965034965034,0.024095586444209498,0.59369,1.156,0.263,0.040244148118811884,0.7433862626262626,1.1287373737373738,0.5462727272727271,0.01902390763094491,2552.84
probable,1.48,98,33,0.247191011235955,0.0037453183520599,0.022575194569149158,0.7102195121951219,1.186,0.386,0.030193131060828677,0.6606187895212285,1.0219753086419752,0.4707654320987654,0.024082402000700227,1308.23
cheap,2.11,138,20,0.1142857142857142,0.0035714285714285,0.031926510025342636,0.6708991596638656,1.176,0.176,0.05099229908963585,0.8244114798461757,1.0573559322033896,0.6704915254237288,0.021452549429415536,1587.34
active,3.32,134,7,0.0614334470989761,0.0034129692832764,0.08139275884436452,0.6690403225806452,1.253,0.332,0.08453873638709676,0.7572166451612903,1.1777822580645163,0.5845403225806453,0.06254060362740531,1776.93
few,2.48,106,34,0.1390977443609022,0.0037593984962406,0.05737808564298782,0.5026136363636364,1.034,0.096,0.10002875536261491,0.7000065308254964,1.0050229885057471,0.5075057471264368,0.05106108201201987,1332.77
large,3.37,97,5,0.2203389830508474,0.0033898305084745,0.11584169502586035,0.599720930232558,1.171,0.067,0.13247115584068433,0.7850385772913817,1.0887529411764705,0.6074588235294118,0.08459471387954852,4222.01
actual,2.22,100,32,0.2835820895522388,0.003731343283582,0.04929997419434526,0.5522151898734177,1.217,0.228,0.06782203401898736,0.6790168776371308,1.2567564102564102,0.4892820512820513,0.04603744513093069,2588.32
low,3.34,127,4,0.1486486486486486,0.0033783783783783,0.0870238062260228,0.6280491803278688,1.177,0.177,0.09962608876449419,0.7926910987671046,1.1147355371900824,0.637702479338843,0.062419658332445976,1555.78
responsible,1.69,151,13,0.0704225352112676,0.0035211267605633,0.018710472998201083,0.630723404255319,1.22,0.336,0.04111372510238737,0.739944461092798,1.0436595744680852,0.561304964539007,0.014618380364022828,2223.29
many,2.37,104,18,0.1418439716312056,0.0035460992907801,0.05338772475349208,0.5266888888888889,1.212,0.078,0.10313707472527474,0.7043697877652934,1.0920337078651683,0.5204719101123594,0.047647142436567216,1836.54
high,3.46,111,13,0.1324041811846689,0.0034843205574912,0.10657235713569316,0.6152857142857143,1.216,0.177,0.11033591814914644,0.774518315018315,1.1331442307692308,0.6093365384615385,0.07616893371505128,1981.66
current,3.16,96,3,0.1447811447811448,0.0033670033670033,0.10259671836479899,0.6369310344827586,1.379,0.249,0.12881258712121216,0.7837241379310346,1.1610919540229885,0.5887816091954022,0.07698854530987709,2667.82
strong,3.14,132,9,0.0927835051546391,0.0034364261168384,0.07393102538179089,0.6224262295081968,1.203,0.237,0.08882778381980543,0.7888851104186424,1.0842396694214878,0.6212231404958677,0.051782886237932486,2671.73
proper,1.78,110,16,0.1514084507042253,0.0035211267605633,0.02858703835754024,0.6633684210526315,1.116,0.234,0.05093692631578948,0.7857301231802911,1.0132978723404251,0.6285212765957447,0.01721804177006147,3182.62
