Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
music,4.31,134,8,0.0753424657534246,0.0034246575342465,0.13722404858798515,0.5886393442622951,1.207,0.187,0.1518430133280021,0.768261482183986,1.1311322314049586,0.6128512396694215,0.11027520117461746,4528.77
way,2.34,125,14,0.1118881118881118,0.0034965034965034,0.04335392883728548,0.4537387387387387,1.467,0.173,0.08301240789897041,0.6608484848484849,1.2827636363636366,0.4813454545454544,0.04475987346586255,2632.94
none,2.59,82,13,0.1696113074204947,0.0035335689045936,0.08076958531040916,0.578865671641791,1.226,0.209,0.13122753380158034,0.6988923563998191,1.126378787878788,0.5050757575757576,0.07857299885578589,693.88
paper,4.93,109,4,0.0648464163822525,0.0034129692832764,0.22028501651613971,0.5884105263157895,1.065,0.282,0.21731625515350883,0.7613534154535273,1.0928617021276597,0.6016914893617021,0.18801632057129725,3172.04
town,4.64,107,8,0.2006920415224913,0.0034602076124567,0.19904278403166908,0.5881234567901235,1.262,0.139,0.23621351099066543,0.7405496913580247,1.1992375000000002,0.5803875,0.20027463549721466,4226.4
occasion,2.52,79,23,0.1386861313868613,0.0036496350364963,0.07913312139394947,0.5750571428571428,1.013,0.252,0.07914642253521126,0.7086414078674947,1.0454202898550726,0.5601594202898551,0.0559838206773935,3664.71
budget,3.14,129,5,0.2067796610169491,0.0033898305084745,0.07581524922498607,0.6165412844036697,1.117,0.188,0.09354938957464555,0.7333331634386681,1.0868796296296297,0.5678611111111111,0.06449111776743538,2948.67
village,4.89,116,7,0.1911262798634812,0.0034129692832764,0.2040394371670006,0.6466195652173914,1.259,0.139,0.22121694904160827,0.7597398316970546,1.1184565217391305,0.607945652173913,0.19075062860951142,4165.29
glass,4.82,90,8,0.1003460207612456,0.0034602076124567,0.25445945663844877,0.6256790123456791,1.027,0.314,0.23349495814513704,0.7898222222222222,1.0073124999999998,0.6815,0.20337831859652591,3288.99
dog,4.85,122,10,0.1758620689655172,0.0034482758620689,0.19090222056242895,0.6060480769230769,0.918,0.12,0.19521988589743586,0.7897300366300366,0.9582884615384616,0.606048076923077,0.16040898623004352,4289.34
parent,4.56,82,6,0.1598639455782313,0.0034013605442176,0.24993316090215942,0.6900897435897436,1.23,0.327,0.21276773774748456,0.7613128854268095,1.0648846153846154,0.5948589743589743,0.18903296552224547,5462.23
sheet,4.93,88,8,0.2123287671232876,0.0034246575342465,0.2726822560168109,0.6856363636363635,1.001,0.314,0.249728257076257,0.7693192071086807,1.0011447368421051,0.6335657894736841,0.2289349420865376,4225.73
choice,1.9,128,11,0.0934256055363321,0.0034602076124567,0.027915954404402213,0.4974913793103449,0.997,0.243,0.040856148246389626,0.6351118479221927,1.011646551724138,0.4583017241379311,0.02727951570729644,1936.1
example,3.03,129,49,0.0637450199203187,0.0039840637450199,0.07034146572178195,0.46022429906542056,1.108,0.057,0.08835201834544823,0.6288827367307352,1.073745283018868,0.4579150943396226,0.06599296781761783,1615.16
space,3.54,137,4,0.0743243243243243,0.0033783783783783,0.09053610767955289,0.6195210084033614,1.149,0.355,0.09319045875350139,0.776076199971514,1.1485677966101695,0.6224915254237289,0.0737497847880692,3494.94
month,4.2,81,3,0.1717171717171717,0.0033670033670033,0.2145096619420912,0.5364615384615384,1.23,0.061,0.31580078592162564,0.7048687782805428,1.1008627450980393,0.5181764705882352,0.24788323043749502,5774.77
church,4.9,135,3,0.0782312925170068,0.0034013605442176,0.17612385077487788,0.6435833333333334,1.201,0.162,0.1990589837465565,0.8000169467787115,1.164453781512605,0.6556302521008402,0.1470369757217715,5162.94
science,2.79,142,5,0.0644067796610169,0.0033898305084745,0.05423427729538691,0.6318888888888889,1.155,0.241,0.07279325179738562,0.7481639579878386,1.0255000000000003,0.5922537313432835,0.03979094391367472,4679.16
radio,4.74,132,1,0.1304347826086956,0.0033444816053511,0.16855871445086765,0.5972277227722772,1.114,0.185,0.19353910386332757,0.7247631683168316,1.02567,0.5907999999999999,0.16492905930576585,4449.57
nation,3.62,116,14,0.2202797202797203,0.0034965034965034,0.11192472475679614,0.5683068181818182,1.114,0.124,0.13095906179775277,0.7058069487983282,1.0667241379310344,0.5446321839080461,0.10524999227302888,4232.68
part,3.29,111,6,0.1156462585034013,0.0034013605442176,0.09638694748736659,0.5388279569892472,1.171,0.205,0.124355571379547,0.7002443376801647,1.0654838709677417,0.5093978494623655,0.08292464130379305,2796.46
father,4.52,107,7,0.1827586206896551,0.0034482758620689,0.18895454084108446,0.625764705882353,1.172,0.076,0.23290371545827632,0.7951434173669469,1.0632857142857142,0.6320476190476191,0.17208132555239147,4684.62
decision,2.19,146,29,0.077490774907749,0.003690036900369,0.03249103458736086,0.5209197080291971,1.157,0.251,0.05122540124828096,0.6528941605839417,1.0440808823529413,0.4880367647058823,0.029736027114133597,1975.66
hospital,4.64,110,3,0.1178451178451178,0.0033670033670033,0.19348666452578298,0.6250329670329671,1.19,0.186,0.216938376015289,0.7446564102564103,1.1508000000000005,0.5863222222222222,0.17461806736635346,4105.66
