Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
inform,2.25,111,20,0.2285714285714285,0.0035714285714285,0.04534430157198015,0.6476831683168317,1.071,0.217,0.06019192389827218,0.6983489108910892,1.11919,0.53872,0.03666969193127548,2904.71
read,3.56,116,15,0.231578947368421,0.0035087719298245,0.10830139810412999,0.5811926605504587,0.989,0.258,0.1078745671392827,0.7229544620517098,0.9357614678899082,0.5773669724770643,0.08081954665115107,3201.51
provide,2.72,118,12,0.2140350877192982,0.0035087719298245,0.06220411598165099,0.5391764705882354,1.288,0.215,0.09150852370074246,0.7077035979440319,1.2198529411764707,0.5262450980392158,0.05198334783495835,2757.66
exist,2.38,105,25,0.1563636363636363,0.0036363636363636,0.053449770926614855,0.6073908045977012,1.003,0.314,0.06344684939916405,0.7245578722266773,1.0758139534883722,0.5470348837209301,0.04566946843326026,2452.71
know,1.68,126,15,0.0851063829787234,0.0035460992907801,0.022154149631250824,0.4311559633027523,1.199,0.056,0.07429520633861551,0.6200976894325518,1.1539814814814815,0.4289074074074074,0.03224646829919996,1452.32
carry,4.04,106,13,0.1126760563380281,0.0035211267605633,0.15207414600732466,0.6130631578947369,1.068,0.259,0.16038633146929826,0.7551836506159014,1.072255319148936,0.5739468085106383,0.12439996895708744,1616.5
go,3.15,120,13,0.0801393728222996,0.0034843205574912,0.08171211607833286,0.4919821428571428,1.184,0.065,0.11757727006953222,0.6814148230088496,1.1391339285714286,0.4900803571428571,0.07476069896696744,1738.01
assume,1.75,132,30,0.0851851851851851,0.0037037037037037,0.022950398036492906,0.5781132075471699,1.062,0.293,0.0395437032269441,0.6789271733380355,0.9601981132075472,0.4897169811320754,0.024391502717369538,1511.43
understand,2.28,111,13,0.1463414634146341,0.0034843205574912,0.046389563685017066,0.4869270833333333,1.214,0.134,0.07802441151202748,0.690728947368421,1.1228105263157897,0.5059052631578946,0.04123505363811387,3158.9
advertise,2.81,131,9,0.0962199312714776,0.0034364261168384,0.05962892403638914,0.7541982758620689,1.082,0.389,0.05287690318302388,0.7650803124078985,1.070405172413793,0.621206896551724,0.04493085226227271,2108.22
